varname	shortname	units
Time	Time	(y)
year	Year	(y)
doy	Day of Year	(d)
DAVTMP	Av. Temp.	(degC)
CLV	Leaf C	(gC m-2)
CLVD	Dead Leaf C	(gC m-2)
TRANRF	Transpiration	(%)
CRES	Reserve C	(gC m-2)
CRT	Root C	(gC m-2)
CST	Stem C	(gC m-2)
CSTUB	Stubble C	(gC m-2)
VERND	Vern. Days	(d)
PHOT	Photosyn.	(gC m-2 d-1)
LAI	LAI	(m2 m-2)
RESMOB	Res. Mobil.	(gC m-2 d-1)
RAIN	Rain	(mm d-1)
PHEN	Phen. Stage	(-)
LT50	Hardening	(degC)
DAYL	Daylength	(-)
TILG2	Elong. Tillers	(m-2)
TILG1	Gen. Tillers	(m-2)
TILV	Veg. Tillers	(m-2)
WAL	Soil Water	(mm)
WCLM	Soil Moisture	(%)
DAYLGE	Daylength Fact.	(-)
RDLVD	Decomp. Rate	(d-1)
HARVFR	Harvest Frac.	(-)
DM	Ryegrass Mass	(kg DM ha-1)
RES	Reserve C	(g g-1)
LERG	Gen. Elong. Rate	(m d-1)
PHENRF	Phen. Effect	(-)
RLEAF	Leaf App. Rate	(d-1)
SLA	Spec. Leaf Area	(m2 gC-1)
TILTOT	Total Tillers	(m-2)
RGRTV	Till. App. Rate	(d-1)
RDRTIL	Till. Death Rate 	(d-1)
GRT	Root Growth	(gC m-2 d-1)
RDRL	Leaf Death Rate	(d-1)
VERN	Vernalisation	(%)
DRAIN	Drainage	(mm d-1)
RUNOFF	Runoff	(mm d-1)
EVAP	Evap.	(mm d-1)
TRAN	Trans.	(mm d-1)
LINT	Light Intercep.	(-)
DEBUG	Debug	(?)
ROOTD	Root Depth	(m)
TSIZE	Tiller Size	(gC tiller-1)
LERV	Veg. Elong. Rate	(m d-1)
WCL	Eff. Soil Moisture	(%)
HARVFRIN	Harvest Data	(-)
SLANEW	New SLA	(m2 gC-1)
YIELD	PRG Yield	(tDM ha-1)
BASAL	Basal Area	(%)
GTILV	Till. Birth	(till m-2 d-1)
DTILV	Till. Death	(till m-2 d-1)
FS	Site Filling	(till leaf-1)
